geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count
Victoria,48469,2018,leukemia,21.6,28.7963699,-96.9711977,25
Walker,48471,2018,leukemia,~,30.7431631,-95.5698246,~
Waller,48473,2018,leukemia,~,30.0135901,-95.9821493,~
Ward,48475,2018,leukemia,~,31.5130687,-103.1051127,0
Washington,48477,2018,leukemia,~,30.2150752,-96.4102717,~
Webb,48479,2018,leukemia,12.4,27.7607987,-99.3407518,31
Wharton,48481,2018,leukemia,~,29.2784805,-96.2296745,~
Wheeler,48483,2018,leukemia,~,35.3926026,-100.2531135,~
Wichita,48485,2018,leukemia,18.2,33.9882125,-98.7080098,24
Wilbarger,48487,2018,leukemia,~,34.0849199,-99.2424397,~
Willacy,48489,2018,leukemia,~,26.4818607,-97.5947313,~
Williamson,48491,2018,leukemia,16.2,30.6490817,-97.6050646,88
Wilson,48493,2018,leukemia,~,29.173883,-98.0867336,~
Winkler,48495,2018,leukemia,~,31.8328615,-103.0549246,~
Wise,48497,2018,leukemia,~,33.2193461,-97.6529857,~
Wood,48499,2018,leukemia,~,32.7835881,-95.3821664,~
Yoakum,48501,2018,leukemia,~,33.1623386,-102.8322409,~
Young,48503,2018,leukemia,~,33.1587778,-98.6783895,~
Zapata,48505,2018,leukemia,~,26.9969806,-99.1826027,~
Zavala,48507,2018,leukemia,~,28.8646523,-99.7598304,~
Anderson,48001,2019,leukemia,~,31.8412614,-95.6617267,~
Andrews,48003,2019,leukemia,~,32.3122581,-102.6402058,~
Angelina,48005,2019,leukemia,17.1,31.2518963,-94.6111337,18
Aransas,48007,2019,leukemia,~,28.1226209,-96.9675012,~
Archer,48009,2019,leukemia,~,33.6163054,-98.6872669,~
Armstrong,48011,2019,leukemia,~,34.964179,-101.3566363,~
Atascosa,48013,2019,leukemia,~,28.8914775,-98.535381,~
Austin,48015,2019,leukemia,~,29.8919013,-96.2701696,~
Bailey,48017,2019,leukemia,~,34.0675209,-102.8303446,~
Bandera,48019,2019,leukemia,~,29.756389,-99.2482849,~
Bastrop,48021,2019,leukemia,14.7,30.1007718,-97.3106392,16
Baylor,48023,2019,leukemia,~,33.6188024,-99.2081888,0
Bee,48025,2019,leukemia,~,28.4160769,-97.7425858,~
Bell,48027,2019,leukemia,16.7,31.0370095,-97.4796349,55
Bexar,48029,2019,leukemia,14.2,29.4486708,-98.5201465,271
Blanco,48031,2019,leukemia,~,30.266203,-98.3993321,~
Bosque,48035,2019,leukemia,~,31.9008189,-97.6376407,~
Bowie,48037,2019,leukemia,~,33.4460648,-94.422393,~
Brazoria,48039,2019,leukemia,17.9,29.1678175,-95.434647,67
Brazos,48041,2019,leukemia,14.8,30.6567132,-96.3023935,26
Brewster,48043,2019,leukemia,~,29.8089965,-103.2524579,~
Briscoe,48045,2019,leukemia,~,34.5251725,-101.205893,0
Brooks,48047,2019,leukemia,~,27.0349936,-98.2152756,~
Brown,48049,2019,leukemia,~,31.7641372,-98.998456,~
Burleson,48051,2019,leukemia,~,30.4934867,-96.6220912,0
Burnet,48053,2019,leukemia,~,30.7896305,-98.2011868,~
Caldwell,48055,2019,leukemia,~,29.8323986,-97.628141,~
Calhoun,48057,2019,leukemia,~,28.4417191,-96.5795739,~
Callahan,48059,2019,leukemia,~,32.2931499,-99.372249,~
Cameron,48061,2019,leukemia,14.9,26.1029227,-97.4789584,64
Camp,48063,2019,leukemia,~,32.9745813,-94.979085,~
Carson,48065,2019,leukemia,~,35.4054961,-101.3553558,~
Cass,48067,2019,leukemia,~,33.0836979,-94.3575786,~
Castro,48069,2019,leukemia,~,34.5336207,-102.2587856,0
Chambers,48071,2019,leukemia,~,29.6963741,-94.6694454,~
Cherokee,48073,2019,leukemia,~,31.8438787,-95.1563431,~
Childress,48075,2019,leukemia,~,34.5246609,-100.208194,~
Clay,48077,2019,leukemia,~,33.7859042,-98.2129174,~
Cochran,48079,2019,leukemia,~,33.6084401,-102.830449,0
Coke,48081,2019,leukemia,~,31.8771104,-100.6352305,~
Coleman,48083,2019,leukemia,~,31.9142052,-99.3466223,~
Collin,48085,2019,leukemia,17.1,33.1944818,-96.5794285,165
Collingsworth,48087,2019,leukemia,~,34.9633577,-100.2721351,0
Colorado,48089,2019,leukemia,~,29.5962618,-96.5088884,~
Comal,48091,2019,leukemia,13.1,29.8123773,-98.2581288,26
Comanche,48093,2019,leukemia,~,31.9516447,-98.5496169,~
Concho,48095,2019,leukemia,~,31.3188831,-99.8636485,0
Cooke,48097,2019,leukemia,~,33.6391964,-97.2103433,~
Coryell,48099,2019,leukemia,~,31.3911774,-97.7980223,~
Cottle,48101,2019,leukemia,~,34.0919063,-100.2764416,0
Crane,48103,2019,leukemia,~,31.4396085,-102.4925044,0
Crockett,48105,2019,leukemia,~,30.7175316,-101.4042113,~
Crosby,48107,2019,leukemia,~,33.609144,-101.2987099,~
Culberson,48109,2019,leukemia,~,31.4459085,-104.5269447,0
Dallam,48111,2019,leukemia,~,36.2863696,-102.5940204,0
Dallas,48113,2019,leukemia,14.8,32.7669866,-96.7784238,354
Dawson,48115,2019,leukemia,~,32.742528,-101.9487714,~
De Witt,48117,2019,leukemia,~,34.9407663,-102.6075637,~
Deaf Smith,48119,2019,leukemia,~,33.3859329,-95.6733504,~
Delta,48121,2019,leukemia,~,33.205132,-97.1211403,~
Denton,48123,2019,leukemia,19.1,29.0823457,-97.3616543,147
Dickens,48125,2019,leukemia,~,33.6153625,-100.7876176,~
Dimmit,48127,2019,leukemia,~,28.4235871,-99.7658713,0
Donley,48129,2019,leukemia,~,34.9550364,-100.8158457,0
Duval,48131,2019,leukemia,~,27.6811232,-98.4973933,~
Eastland,48133,2019,leukemia,~,32.3246454,-98.8365596,~
Ector,48135,2019,leukemia,13.8,31.8653008,-102.5425068,22
Edwards,48137,2019,leukemia,~,29.9859327,-100.3073997,~
El Paso,48141,2019,leukemia,16.3,31.7664559,-106.2415203,136
Ellis,48139,2019,leukemia,21.3,32.3468783,-96.7969403,40
Erath,48143,2019,leukemia,~,32.2362068,-98.2183364,~
Falls,48145,2019,leukemia,~,31.2519298,-96.9341275,~
Fannin,48147,2019,leukemia,~,33.5911611,-96.1049882,~
Fayette,48149,2019,leukemia,~,29.8778861,-96.9212309,~
Fisher,48151,2019,leukemia,~,32.7404728,-100.4031198,~
Floyd,48153,2019,leukemia,~,34.0737305,-101.3032742,~
Foard,48155,2019,leukemia,~,33.9633063,-99.8168285,0
Fort Bend,48157,2019,leukemia,15.1,29.5266017,-95.7710149,103
Franklin,48159,2019,leukemia,~,33.1758457,-95.2190662,~
Freestone,48161,2019,leukemia,~,31.7017487,-96.1449568,~
Frio,48163,2019,leukemia,~,28.8693828,-99.109005,~
Gaines,48165,2019,leukemia,~,32.7439423,-102.6315614,0
Galveston,48167,2019,leukemia,15.8,29.2339273,-94.8881969,57
Garza,48169,2019,leukemia,~,33.183792,-101.3011341,~
Gillespie,48171,2019,leukemia,~,30.3250955,-98.9418446,~
Glasscock,48173,2019,leukemia,~,31.8680062,-101.5214944,0
Goliad,48175,2019,leukemia,~,28.6607,-97.4304145,~
Gonzales,48177,2019,leukemia,~,29.4619121,-97.4919205,~
Gray,48179,2019,leukemia,~,35.4025424,-100.8123736,~
Grayson,48181,2019,leukemia,18.4,33.6245482,-96.6757774,31
Gregg,48183,2019,leukemia,16.8,32.4864014,-94.8162768,25
Grimes,48185,2019,leukemia,~,30.5432314,-95.988082,~
Guadalupe,48187,2019,leukemia,13,29.5826714,-97.9489953,23
Hale,48189,2019,leukemia,~,34.0684364,-101.8228879,~
Hall,48191,2019,leukemia,~,34.4531894,-100.5763434,0
Hamilton,48193,2019,leukemia,~,31.7073424,-98.1117562,~
Hansford,48195,2019,leukemia,~,36.2728469,-101.3569304,0
Hardeman,48197,2019,leukemia,~,34.2899036,-99.7456973,~
Hardin,48199,2019,leukemia,~,30.3296483,-94.3931782,~
Harris,48201,2019,leukemia,13.2,29.857273,-95.3930371,563
Harrison,48203,2019,leukemia,21.7,32.5479914,-94.3744344,18
Hartley,48205,2019,leukemia,~,35.8402444,-102.6100473,0
Haskell,48207,2019,leukemia,~,33.1759638,-99.730774,~
Hays,48209,2019,leukemia,16.7,30.0612247,-98.0292673,35
Hemphill,48211,2019,leukemia,~,35.8159564,-100.2792102,~
Henderson,48213,2019,leukemia,16.6,32.2116334,-95.8534183,20
Hidalgo,48215,2019,leukemia,12.4,26.3963839,-98.18099,99
Hill,48217,2019,leukemia,~,31.9826412,-97.1306323,~
Hockley,48219,2019,leukemia,~,33.605932,-102.3433978,~
Hood,48221,2019,leukemia,32.2,32.430149,-97.8316766,29
Hopkins,48223,2019,leukemia,~,33.1489673,-95.5654337,~
Houston,48225,2019,leukemia,~,31.3230362,-95.4215995,~
Howard,48227,2019,leukemia,~,32.3034298,-101.4387208,~
Hudspeth,48229,2019,leukemia,~,31.4508678,-105.3775489,0
Hunt,48231,2019,leukemia,22.2,33.1233077,-96.0842298,24
