date,wind_speed,wind_direction_degrees
3/21/2019,3.09,321.2
3/22/2019,4.05,216
3/23/2019,5.9,153.3
3/24/2019,5.68,168.8
3/25/2019,4.07,248.5
3/26/2019,5.34,27.9
3/27/2019,5.06,108.9
3/28/2019,6.54,156.1
3/29/2019,6.71,160.4
3/30/2019,6.41,237.4
3/31/2019,6.56,19
4/1/2019,4.7,26.4
4/2/2019,3.5,87.8
4/3/2019,5.9,124.2
4/4/2019,6.55,170.4
4/5/2019,3.51,112.1
4/6/2019,6.56,137.6
4/7/2019,6.44,156.5
4/8/2019,6.72,296.9
4/9/2019,3.78,306.5
4/10/2019,6.55,176.6
4/11/2019,6.79,182.5
4/12/2019,6.72,77.6
4/13/2019,9.45,183
4/14/2019,7.21,313.8
4/15/2019,5.32,160.9
4/16/2019,7.02,153.5
4/17/2019,7.46,148.2
4/18/2019,7.27,283.1
4/19/2019,8.04,316.9
4/20/2019,4.28,258.4
4/21/2019,6.59,162
4/22/2019,6.58,146.7
4/23/2019,5.83,134.7
4/24/2019,6.44,133.9
4/25/2019,6.2,298.3
4/26/2019,3.89,27.9
4/27/2019,5.77,180.8
4/28/2019,6.08,164.4
4/29/2019,7.75,153.2
4/30/2019,8.47,152
5/1/2019,7.56,151.1
5/2/2019,5.95,151.2
5/3/2019,5.2,146.5
5/4/2019,4.66,325
5/5/2019,3.92,112.9
5/6/2019,4.87,140.5
5/7/2019,6.67,137.1
5/8/2019,8.09,163.7
5/9/2019,5.38,151.3
5/10/2019,3.78,91
5/11/2019,4.54,55.9
5/12/2019,4.28,354.9
5/13/2019,4.5,71.6
5/14/2019,4.95,106.5
5/15/2019,4.35,126.7
5/16/2019,4.57,144
5/17/2019,6.49,150.1
5/18/2019,7.96,155.5
5/19/2019,5.71,173.6
5/20/2019,7.91,152.8
5/21/2019,9.87,168.2
5/22/2019,8.8,155.9
5/23/2019,7.9,146.1
5/24/2019,6.71,146.1
5/25/2019,6.2,151
5/26/2019,6.04,151.6
5/27/2019,6.66,171.6
5/28/2019,7.94,172.1
5/29/2019,7.07,161.6
5/30/2019,3.56,181
5/31/2019,1.35,145.5
6/1/2019,2.03,187.7
6/2/2019,2.54,191.4
6/3/2019,3.15,160.1
6/4/2019,4.01,152.7
6/5/2019,7.1,146.2
6/6/2019,4.75,242.9
6/7/2019,5.14,280.8
6/8/2019,3.12,334.4
6/9/2019,2.48,74.9
6/10/2019,5.23,8.8
6/11/2019,4.87,34.6
6/12/2019,2.47,57.8
6/13/2019,2.88,38.7
6/14/2019,4.66,154
6/15/2019,7.08,182.9
6/16/2019,6.19,162.3
6/17/2019,3.33,150.2
6/18/2019,3.3,221.6
6/19/2019,5.67,210
6/20/2019,6.24,195.8
6/21/2019,6.34,172.9
6/22/2019,7.27,169.7
6/23/2019,7.31,171.4
6/24/2019,4.49,157
6/25/2019,4.23,125.3
6/26/2019,5.25,133.8
6/27/2019,2.61,157.1
6/28/2019,1.69,193.6
6/29/2019,1.65,254.3
6/30/2019,3.55,203.9
7/1/2019,3.96,171.6
7/2/2019,4.21,164.4
7/3/2019,4.27,164.6
7/4/2019,5.36,169.4
7/5/2019,4.35,176.8
7/6/2019,3.28,202
7/7/2019,3.58,213
7/8/2019,4.11,212.6
7/9/2019,4.4,214.6
7/10/2019,2.35,267.3
7/11/2019,3.65,348.6
7/12/2019,6.39,7.6
7/13/2019,6.79,338.6
7/14/2019,6.5,228
7/15/2019,5.98,202
7/16/2019,5.71,181.6
7/17/2019,5.13,172.9
7/18/2019,5.1,178.2
7/19/2019,5.14,181.3
7/20/2019,4.61,178.9
7/21/2019,3.54,180.2
7/22/2019,3.71,223.7
7/23/2019,5.51,9.1
7/24/2019,5.78,42.4
7/25/2019,4.28,64.2
7/26/2019,4.82,85.4
7/27/2019,4.79,147.6
7/28/2019,4.78,186.4
7/29/2019,4.7,189.1
7/30/2019,3.92,220.1
7/31/2019,3.05,184.6
8/1/2019,2.36,156.4
8/2/2019,2.28,198.5
8/3/2019,2.81,228.4
8/4/2019,2.93,204.5
8/5/2019,3.21,193.9
8/6/2019,3.56,206.6
8/7/2019,4.67,210.9
8/8/2019,5.02,202.2
8/9/2019,4.99,201.9
8/10/2019,4.32,198.2
8/11/2019,4.01,203.1
8/12/2019,4.31,211.7
8/13/2019,3.9,218.5
8/14/2019,2.38,259.7
8/15/2019,2.11,106.6
8/16/2019,2.97,149.9
8/17/2019,4.84,183.9
8/18/2019,5.81,185.4
8/19/2019,4.3,190.8
8/20/2019,2.72,204.1
8/21/2019,3.49,186.5
8/22/2019,4.3,151.9
8/23/2019,4.43,153.9
8/24/2019,4.03,135.4
8/25/2019,3.27,232.8
8/26/2019,5.44,191.7
8/27/2019,4.02,182.5
8/28/2019,2.07,190
8/29/2019,2.62,133.9
8/30/2019,2.85,146.7
8/31/2019,2.09,109.8
9/1/2019,3.81,69.5
9/2/2019,4.23,59.3
9/3/2019,4.89,83.8
9/4/2019,4.74,93.9
9/5/2019,2.83,215.5
9/6/2019,3.57,226.9
9/7/2019,3.82,219.5
9/8/2019,3.76,201.6
9/9/2019,4.17,154.2
9/10/2019,4.89,138.1
9/11/2019,4.11,135.4
9/12/2019,4.65,122.6
9/13/2019,3.73,80.7
9/14/2019,4.97,87.3
9/15/2019,4.76,78.6
9/16/2019,6.09,81.8
9/17/2019,7.08,121
9/18/2019,8.77,177
9/19/2019,7.07,156.9
9/20/2019,6.29,131.8
9/21/2019,5.57,124.2
9/22/2019,5.58,138
9/23/2019,4.4,145.7
9/24/2019,4.29,144.7
9/25/2019,4.11,161.9
9/26/2019,2.93,149.8
9/27/2019,5.07,146.3
9/28/2019,5.99,142.5
9/29/2019,5.58,133.5
9/30/2019,5.68,133.6
10/1/2019,5.11,134.6
10/2/2019,3.59,121.5
10/3/2019,3.13,102.1
10/4/2019,2.54,54.3
10/5/2019,2.72,101.7
10/6/2019,3.3,123.8
10/7/2019,4.67,16.2
10/8/2019,3.53,35
10/9/2019,3.61,141.9
10/10/2019,5.96,157.9
10/11/2019,7.36,336.5
10/12/2019,5.44,14.3
10/13/2019,2.86,78.6
10/14/2019,4.41,124.5
10/15/2019,4.9,195.4
10/16/2019,5.38,4.3
10/17/2019,4.96,41.1
10/18/2019,3.13,71.1
10/19/2019,3.35,181.8
10/20/2019,5.89,186.4
10/21/2019,5.61,325.9
10/22/2019,5.31,31.4
10/23/2019,6.39,108.2
10/24/2019,6.26,98
10/25/2019,7.22,332.7
10/26/2019,5.14,291.8
10/27/2019,3.7,131.1
10/28/2019,4.75,98.6
10/29/2019,5.93,84.2
10/30/2019,5.06,308.2
10/31/2019,8.22,347.2
11/1/2019,2.97,47.9
11/2/2019,4.98,18.3
11/3/2019,4.45,93.3
11/4/2019,5.62,122.4
11/5/2019,4.18,113.2
11/6/2019,4.59,102.7
11/7/2019,3.96,14.8
11/8/2019,6.46,16.4
11/9/2019,2.99,43.7
11/10/2019,3.62,142.5
11/11/2019,5.77,270.2
11/12/2019,8.28,4.4
11/13/2019,2.85,58
11/14/2019,4.68,38
11/15/2019,4.55,10.7
11/16/2019,3.39,33.9
11/17/2019,2.31,25.1
11/18/2019,2.94,284.6
11/19/2019,3.36,194.7
11/20/2019,6.86,133.6
11/21/2019,6.54,140.2
11/22/2019,5.72,230.4
11/23/2019,5.37,342.6
11/24/2019,3.35,121.6
11/25/2019,6.37,182.2
11/26/2019,8.1,192.6
11/27/2019,7.02,25.1
11/28/2019,6.52,103.4
11/29/2019,6.63,130.3
11/30/2019,7.74,200.1
12/1/2019,6.87,328.8
12/2/2019,5.15,348.2
12/3/2019,3.41,163.6
12/4/2019,3.78,11.8
12/5/2019,4.87,135.6
12/6/2019,6.1,285.4
12/7/2019,4.73,37.6
12/8/2019,4.95,142.3
12/9/2019,6.81,200.8
12/10/2019,7.22,17.4
12/11/2019,6.47,35.7
12/12/2019,3.49,66.7
12/13/2019,4.6,228.6
12/14/2019,4.11,92.1
12/15/2019,7.98,175.6
12/16/2019,7.75,213.8
12/17/2019,7.7,351
12/18/2019,4.24,1
12/19/2019,4.08,96.6
12/20/2019,4.6,81.9
12/21/2019,4.25,15.1
12/22/2019,5.9,336.2
12/23/2019,4.57,331.2
12/24/2019,2.55,98.6
12/25/2019,2.7,153.1
12/26/2019,2.88,110.2
12/27/2019,4.44,97.5
12/28/2019,6.69,152.4
12/29/2019,7.02,255.8
12/30/2019,5.28,325.4
12/31/2019,2.98,353.2
1/1/2020,4.3,118.8
1/2/2020,4.37,189
1/3/2020,4.95,264.6
1/4/2020,4.07,321.3
1/5/2020,5.13,212.4
1/6/2020,5.4,215.1
1/7/2020,4.58,7
1/8/2020,5.91,127.3
1/9/2020,8.29,149.1
1/10/2020,8.6,147.9
1/11/2020,7.71,294.6
1/12/2020,3.25,78.9
1/13/2020,4.3,92.2
1/14/2020,5.68,171.9
1/15/2020,5.23,167.8
1/16/2020,4.31,103.8
1/17/2020,6.22,113.6
