date,monitor_id,latitude,longitude,rolling_12mo_avg
5/22/2018,BMT-19,30.04831,-94.07391,0.7
5/22/2018,BMT-20,30.05013,-94.07581,0.7
5/22/2018,BMT-21,30.05423,-94.0797,0.7
5/22/2018,BMT-22,30.05793,-94.07944,0.9
5/22/2018,BMT-23,30.0594,-94.0786,0.8
5/22/2018,BMT-24,30.06203,-94.0795,0.7
5/22/2018,BMT-25,30.06612,-94.07808,0.8
5/22/2018,BMT-26,30.06983,-94.07565,0.8
5/22/2018,BMT-27,30.07475,-94.07576,1.1
6/5/2018,BMT-01,30.07664,-94.07121,4.6
6/5/2018,BMT-01,30.07664,-94.07121,4.2
6/5/2018,BMT-02,30.07667,-94.06785,3.7
6/5/2018,BMT-03,30.07583,-94.06433,4.6
6/5/2018,BMT-05,30.07319,-94.05821,3.2
6/5/2018,BMT-06,30.07097,-94.05761,1.2
6/5/2018,BMT-07,30.06816,-94.058,1
6/5/2018,BMT-08,30.06701,-94.05709,0.7
6/5/2018,BMT-09,30.06896,-94.05434,0.7
6/5/2018,BMT-10,30.06711,-94.05172,0.7
6/5/2018,BMT-11,30.06474,-94.0527,1
6/5/2018,BMT-12,30.06382,-94.05473,0.9
6/5/2018,BMT-13,30.06308,-94.05812,0.8
6/5/2018,BMT-14,30.0609,-94.06012,0.8
6/5/2018,BMT-15,30.05644,-94.06226,0.6
6/5/2018,BMT-16,30.0564,-94.06921,1.1
6/5/2018,BMT-16,30.0564,-94.06921,1
6/5/2018,BMT-17,30.05087,-94.06865,1
6/5/2018,BMT-18,30.0468,-94.07106,0.9
6/5/2018,BMT-19,30.04831,-94.07391,1.1
6/5/2018,BMT-20,30.05013,-94.07581,0.9
6/5/2018,BMT-21,30.05423,-94.0797,0.7
6/5/2018,BMT-22,30.05793,-94.07944,0.9
6/5/2018,BMT-23,30.0594,-94.0786,0.9
6/5/2018,BMT-24,30.06203,-94.0795,0.8
6/5/2018,BMT-25,30.06612,-94.07808,1
6/5/2018,BMT-26,30.06983,-94.07565,1.2
6/5/2018,BMT-27,30.07475,-94.07576,0.8
6/19/2018,BMT-01,30.07664,-94.07121,6
6/19/2018,BMT-01,30.07664,-94.07121,5.4
6/19/2018,BMT-02,30.07667,-94.06785,3
6/19/2018,BMT-03,30.07583,-94.06433,5.2
6/19/2018,BMT-05,30.07319,-94.05821,1.7
6/19/2018,BMT-06,30.07097,-94.05761,0.9
6/19/2018,BMT-07,30.06816,-94.058,0.8
6/19/2018,BMT-08,30.06701,-94.05709,0.7
6/19/2018,BMT-09,30.06896,-94.05434,0.7
6/19/2018,BMT-10,30.06711,-94.05172,0.7
6/19/2018,BMT-11,30.06474,-94.0527,0.8
6/19/2018,BMT-12,30.06382,-94.05473,0.8
6/19/2018,BMT-13,30.06308,-94.05812,0.7
6/19/2018,BMT-14,30.0609,-94.06012,0.7
6/19/2018,BMT-15,30.05644,-94.06226,0.6
6/19/2018,BMT-16,30.0564,-94.06921,0.7
6/19/2018,BMT-16,30.0564,-94.06921,0.8
6/19/2018,BMT-17,30.05087,-94.06865,0.7
6/19/2018,BMT-18,30.0468,-94.07106,0.8
6/19/2018,BMT-19,30.04831,-94.07391,1
6/19/2018,BMT-20,30.05013,-94.07581,0.9
6/19/2018,BMT-21,30.05423,-94.0797,0.7
6/19/2018,BMT-22,30.05793,-94.07944,1.4
6/19/2018,BMT-23,30.0594,-94.0786,1.2
6/19/2018,BMT-24,30.06203,-94.0795,0.9
6/19/2018,BMT-25,30.06612,-94.07808,1
6/19/2018,BMT-26,30.06983,-94.07565,1.5
6/19/2018,BMT-27,30.07475,-94.07576,1.8
7/3/2018,BMT-01,30.07664,-94.07121,6.7
7/3/2018,BMT-01,30.07664,-94.07121,6.5
7/3/2018,BMT-02,30.07667,-94.06785,4.4
7/3/2018,BMT-03,30.07583,-94.06433,5.7
7/3/2018,BMT-05,30.07319,-94.05821,2.3
7/3/2018,BMT-06,30.07097,-94.05761,0.8
7/3/2018,BMT-07,30.06816,-94.058,0.7
7/3/2018,BMT-08,30.06701,-94.05709,0.8
7/3/2018,BMT-09,30.06896,-94.05434,0.7
7/3/2018,BMT-10,30.06711,-94.05172,0.6
7/3/2018,BMT-11,30.06474,-94.0527,0.5
7/3/2018,BMT-12,30.06382,-94.05473,0.8
7/3/2018,BMT-13,30.06308,-94.05812,0.6
7/3/2018,BMT-14,30.0609,-94.06012,0.5
7/3/2018,BMT-15,30.05644,-94.06226,0.5
7/3/2018,BMT-16,30.0564,-94.06921,0.7
7/3/2018,BMT-16,30.0564,-94.06921,0.6
7/3/2018,BMT-17,30.05087,-94.06865,0.5
7/3/2018,BMT-18,30.0468,-94.07106,0.5
7/3/2018,BMT-19,30.04831,-94.07391,0.5
7/3/2018,BMT-20,30.05013,-94.07581,0.5
7/3/2018,BMT-21,30.05423,-94.0797,0.5
7/3/2018,BMT-22,30.05793,-94.07944,0.8
7/3/2018,BMT-23,30.0594,-94.0786,1
7/3/2018,BMT-24,30.06203,-94.0795,0.8
7/3/2018,BMT-25,30.06612,-94.07808,0.7
7/3/2018,BMT-26,30.06983,-94.07565,0.7
7/3/2018,BMT-27,30.07475,-94.07576,1
7/17/2018,BMT-01,30.07664,-94.07121,2.3
7/17/2018,BMT-01,30.07664,-94.07121,2.3
7/17/2018,BMT-02,30.07667,-94.06785,4.5
7/17/2018,BMT-03,30.07583,-94.06433,4.4
7/17/2018,BMT-05,30.07319,-94.05821,6.3
7/17/2018,BMT-06,30.07097,-94.05761,1.6
7/17/2018,BMT-07,30.06816,-94.058,1.2
7/17/2018,BMT-08,30.06701,-94.05709,0.9
7/17/2018,BMT-09,30.06896,-94.05434,0.7
7/17/2018,BMT-10,30.06711,-94.05172,1
7/17/2018,BMT-11,30.06474,-94.0527,0.8
7/17/2018,BMT-12,30.06382,-94.05473,0.8
7/17/2018,BMT-13,30.06308,-94.05812,0.8
7/17/2018,BMT-14,30.0609,-94.06012,0.7
7/17/2018,BMT-15,30.05644,-94.06226,0.6
7/17/2018,BMT-16,30.0564,-94.06921,0.9
7/17/2018,BMT-16,30.0564,-94.06921,0.8
7/17/2018,BMT-17,30.05087,-94.06865,1
7/17/2018,BMT-18,30.0468,-94.07106,0.7
7/17/2018,BMT-19,30.04831,-94.07391,0.9
7/17/2018,BMT-20,30.05013,-94.07581,0.8
7/17/2018,BMT-21,30.05423,-94.0797,0.8
7/17/2018,BMT-22,30.05793,-94.07944,1
7/17/2018,BMT-23,30.0594,-94.0786,1
7/17/2018,BMT-24,30.06203,-94.0795,0.9
7/17/2018,BMT-25,30.06612,-94.07808,0.9
7/17/2018,BMT-26,30.06983,-94.07565,1.5
7/17/2018,BMT-27,30.07475,-94.07576,1
7/31/2018,BMT-01,30.07664,-94.07121,2.5
7/31/2018,BMT-01,30.07664,-94.07121,2.4
7/31/2018,BMT-02,30.07667,-94.06785,2.7
7/31/2018,BMT-03,30.07583,-94.06433,4.3
7/31/2018,BMT-05,30.07319,-94.05821,7.8
7/31/2018,BMT-06,30.07097,-94.05761,1.7
7/31/2018,BMT-07,30.06816,-94.058,1.4
7/31/2018,BMT-08,30.06701,-94.05709,1
7/31/2018,BMT-09,30.06896,-94.05434,1.1
7/31/2018,BMT-10,30.06711,-94.05172,1
7/31/2018,BMT-11,30.06474,-94.0527,0.9
7/31/2018,BMT-12,30.06382,-94.05473,1
7/31/2018,BMT-13,30.06308,-94.05812,1
7/31/2018,BMT-14,30.0609,-94.06012,0.9
7/31/2018,BMT-15,30.05644,-94.06226,0.8
7/31/2018,BMT-16,30.0564,-94.06921,0.9
7/31/2018,BMT-16,30.0564,-94.06921,0.8
7/31/2018,BMT-17,30.05087,-94.06865,1.2
7/31/2018,BMT-18,30.0468,-94.07106,0.8
7/31/2018,BMT-19,30.04831,-94.07391,1.2
7/31/2018,BMT-20,30.05013,-94.07581,1
7/31/2018,BMT-21,30.05423,-94.0797,0.9
7/31/2018,BMT-22,30.05793,-94.07944,1.1
7/31/2018,BMT-23,30.0594,-94.0786,1
7/31/2018,BMT-24,30.06203,-94.0795,0.9
7/31/2018,BMT-25,30.06612,-94.07808,0.9
7/31/2018,BMT-26,30.06983,-94.07565,1.3
7/31/2018,BMT-27,30.07475,-94.07576,0.9
8/14/2018,BMT-01,30.07664,-94.07121,3.1
8/14/2018,BMT-01,30.07664,-94.07121,2.9
8/14/2018,BMT-02,30.07667,-94.06785,2.8
8/14/2018,BMT-03,30.07583,-94.06433,3.7
8/14/2018,BMT-05,30.07319,-94.05821,7.8
8/14/2018,BMT-06,30.07097,-94.05761,1.1
8/14/2018,BMT-07,30.06816,-94.058,1
8/14/2018,BMT-08,30.06701,-94.05709,0.8
8/14/2018,BMT-09,30.06896,-94.05434,1
8/14/2018,BMT-10,30.06711,-94.05172,0.9
8/14/2018,BMT-11,30.06474,-94.0527,0.7
8/14/2018,BMT-12,30.06382,-94.05473,0.8
8/14/2018,BMT-13,30.06308,-94.05812,0.9
8/14/2018,BMT-14,30.0609,-94.06012,0.9
8/14/2018,BMT-15,30.05644,-94.06226,0.8
8/14/2018,BMT-16,30.0564,-94.06921,0.9
8/14/2018,BMT-16,30.0564,-94.06921,1
8/14/2018,BMT-17,30.05087,-94.06865,0.8
8/14/2018,BMT-18,30.0468,-94.07106,0.9
8/14/2018,BMT-19,30.04831,-94.07391,1.1
8/14/2018,BMT-20,30.05013,-94.07581,1
8/14/2018,BMT-21,30.05423,-94.0797,0.9
8/14/2018,BMT-22,30.05793,-94.07944,1.6
8/14/2018,BMT-23,30.0594,-94.0786,1.1
8/14/2018,BMT-24,30.06203,-94.0795,1.1
8/14/2018,BMT-25,30.06612,-94.07808,1
8/14/2018,BMT-26,30.06983,-94.07565,1.9
8/14/2018,BMT-27,30.07475,-94.07576,1.4
8/28/2018,BMT-01,30.07664,-94.07121,10
8/28/2018,BMT-01,30.07664,-94.07121,9.8
8/28/2018,BMT-02,30.07667,-94.06785,3.9
8/28/2018,BMT-03,30.07583,-94.06433,5.8
8/28/2018,BMT-05,30.07319,-94.05821,6.9
8/28/2018,BMT-06,30.07097,-94.05761,1.2
8/28/2018,BMT-07,30.06816,-94.058,1.1
8/28/2018,BMT-08,30.06701,-94.05709,0.9
8/28/2018,BMT-09,30.06896,-94.05434,1
8/28/2018,BMT-10,30.06711,-94.05172,0.9
8/28/2018,BMT-11,30.06474,-94.0527,0.8
8/28/2018,BMT-12,30.06382,-94.05473,0.8
8/28/2018,BMT-13,30.06308,-94.05812,0.8
8/28/2018,BMT-14,30.0609,-94.06012,0.9
8/28/2018,BMT-15,30.05644,-94.06226,0.7
8/28/2018,BMT-16,30.0564,-94.06921,1.3
8/28/2018,BMT-16,30.0564,-94.06921,1.3
8/28/2018,BMT-17,30.05087,-94.06865,0.9
8/28/2018,BMT-18,30.0468,-94.07106,0.7
8/28/2018,BMT-19,30.04831,-94.07391,1
8/28/2018,BMT-20,30.05013,-94.07581,0.9
8/28/2018,BMT-21,30.05423,-94.0797,0.6
8/28/2018,BMT-22,30.05793,-94.07944,1.2
8/28/2018,BMT-23,30.0594,-94.0786,0.8
8/28/2018,BMT-24,30.06203,-94.0795,0.8
8/28/2018,BMT-25,30.06612,-94.07808,0.8
8/28/2018,BMT-26,30.06983,-94.07565,1.1
8/28/2018,BMT-27,30.07475,-94.07576,1.2
9/11/2018,BMT-01,30.07664,-94.07121,2
9/11/2018,BMT-01,30.07664,-94.07121,2
9/11/2018,BMT-02,30.07667,-94.06785,2.4
9/11/2018,BMT-03,30.07583,-94.06433,3.3
9/11/2018,BMT-05,30.07319,-94.05821,1.5
9/11/2018,BMT-06,30.07097,-94.05761,0.8
9/11/2018,BMT-07,30.06816,-94.058,0.9
9/11/2018,BMT-08,30.06701,-94.05709,0.71
9/11/2018,BMT-09,30.06896,-94.05434,0.7
9/11/2018,BMT-10,30.06711,-94.05172,0.8
9/11/2018,BMT-11,30.06474,-94.0527,0.8
9/11/2018,BMT-12,30.06382,-94.05473,0.7
9/11/2018,BMT-13,30.06308,-94.05812,1.3
9/11/2018,BMT-14,30.0609,-94.06012,0.7
9/11/2018,BMT-15,30.05644,-94.06226,0.7
9/11/2018,BMT-16,30.0564,-94.06921,1.2
9/11/2018,BMT-16,30.0564,-94.06921,1.1
9/11/2018,BMT-17,30.05087,-94.06865,0.62
9/11/2018,BMT-18,30.0468,-94.07106,0.7
9/11/2018,BMT-19,30.04831,-94.07391,1.3
9/11/2018,BMT-20,30.05013,-94.07581,1
9/11/2018,BMT-21,30.05423,-94.0797,0.8
9/11/2018,BMT-22,30.05793,-94.07944,1.1
9/11/2018,BMT-23,30.0594,-94.0786,1.2
9/11/2018,BMT-24,30.06203,-94.0795,1
9/11/2018,BMT-25,30.06612,-94.07808,1.2
9/11/2018,BMT-26,30.06983,-94.07565,2.2
9/11/2018,BMT-27,30.07475,-94.07576,1.5
9/25/2018,BMT-01,30.07664,-94.07121,2.1
9/25/2018,BMT-01,30.07664,-94.07121,2.1
9/25/2018,BMT-02,30.07667,-94.06785,2.5
9/25/2018,BMT-03,30.07583,-94.06433,4
9/25/2018,BMT-05,30.07319,-94.05821,12
9/25/2018,BMT-06,30.07097,-94.05761,1.7
9/25/2018,BMT-07,30.06816,-94.058,1.3
9/25/2018,BMT-08,30.06701,-94.05709,1
9/25/2018,BMT-09,30.06896,-94.05434,0.9
9/25/2018,BMT-10,30.06711,-94.05172,0.9
9/25/2018,BMT-11,30.06474,-94.0527,0.8
9/25/2018,BMT-12,30.06382,-94.05473,0.8
9/25/2018,BMT-13,30.06308,-94.05812,1
9/25/2018,BMT-14,30.0609,-94.06012,1
9/25/2018,BMT-15,30.05644,-94.06226,0.8
9/25/2018,BMT-16,30.0564,-94.06921,1
9/25/2018,BMT-16,30.0564,-94.06921,1
9/25/2018,BMT-17,30.05087,-94.06865,0.9
9/25/2018,BMT-18,30.0468,-94.07106,0.9
9/25/2018,BMT-19,30.04831,-94.07391,1.3
9/25/2018,BMT-20,30.05013,-94.07581,1.8
9/25/2018,BMT-21,30.05423,-94.0797,1.2
9/25/2018,BMT-22,30.05793,-94.07944,1.4
9/25/2018,BMT-23,30.0594,-94.0786,1.2
9/25/2018,BMT-24,30.06203,-94.0795,1.2
