geography_name,geography_id,cancer_year,cancer_site,incidence_rate,centroid_latitude,centroid_longitude,case_count,exposure_lag_years,exposure_mean,exposure_rolling12,exposure_max,exposure_exceedances,exposure_wind_weighted,exposure_distance_weighted
Johnson,48251,2020,leukemia,20.1,32.379654,-97.3649061,37.0,5,1.8087642245827125,1.6272203692689475,3.1,0.0,1.7413047596549893,1.8087642245827125
Kaufman,48257,2020,leukemia,21.1,32.5989442,-96.2883773,29.0,5,1.8095300134429413,1.6279286941506252,3.1,0.0,1.7420497269346589,1.8095300134429413
Kerr,48265,2020,leukemia,21.4,30.0535627,-99.3746817,17.0,5,1.8071137424664203,1.6256774611783653,1.6,0.0,1.7397079527185189,1.8071137424664203
Lubbock,48303,2020,leukemia,17.1,33.6114688,-101.8199438,53.0,5,1.8078262921331107,1.6263033698931673,3.1,0.0,1.7404187336154446,1.8078262921331107
McLennan,48309,2020,leukemia,17.6,31.5495958,-97.2015108,50.0,5,1.8085298820399391,1.6270307322152673,3.1,0.0,1.7410623917733143,1.8085298820399391
Midland,48329,2020,leukemia,16.6,31.8142693,-102.0024538,24.0,5,1.8075441033182607,1.6260476010126934,3.1,0.0,1.7401414488553508,1.8075441033182607
Montgomery,48339,2020,leukemia,13.9,30.2988009,-95.50295,88.0,5,1.8078711129458833,1.626614755029066,2.0,0.0,1.7403197032676339,1.8078711129458833
Nueces,48355,2020,leukemia,11.8,27.7399747,-97.516301,44.0,5,1.8055884704777598,1.6242456250888788,1.6,0.0,1.7382356613845091,1.8055884704777598
Orange,48361,2020,leukemia,15.6,30.1223229,-93.8940999,17.0,5,1.8330871144675935,1.647405273741302,1.7,0.0,1.7662950261161876,1.8330871144675935
Parker,48367,2020,leukemia,17.7,32.7770964,-97.8059049,33.0,5,1.808613862810996,1.6270672656544622,3.1,0.0,1.7411659512975926,1.808613862810996
Potter,48375,2020,leukemia,14.1,35.3986751,-101.893804,18.0,5,1.807951640356383,1.626410015153751,3.1,0.0,1.7405456265448829,1.807951640356383
Randall,48381,2020,leukemia,16.2,34.962529,-101.8955472,25.0,5,1.8079296528488018,1.6263918950539098,3.1,0.0,1.7405230543924417,1.8079296528488018
Rockwall,48397,2020,leukemia,16.1,32.9002804,-96.4120493,16.0,5,1.8093892227182669,1.6277872966766378,3.1,0.0,1.7419187009197075,1.8093892227182669
Smith,48423,2020,leukemia,16.6,32.3751053,-95.2689389,46.0,5,1.8105860436337833,1.6289067290444084,210.0,0.0,1.7430764447914668,1.8105860436337833
Tarrant,48439,2020,leukemia,15.4,32.7721191,-97.2912241,310.0,5,1.808864703998385,1.6273033797331686,3.1,0.0,1.7414077850980103,1.808864703998385
Travis,48453,2020,leukemia,13.1,30.2395128,-97.6912697,144.0,5,1.807174573008944,1.6257751881529139,2.0,0.0,1.7397450679986945,1.807174573008944
Victoria,48469,2020,leukemia,20.8,28.7963699,-96.9711977,21.0,5,1.8054911849156625,1.6241981076199579,1.6,0.0,1.7381184015967688,1.8054911849156625
Walker,48471,2020,leukemia,23.3,30.7431631,-95.5698246,17.0,5,1.8096900771023172,1.6282490914856802,3.1,0.0,1.7421144690351753,1.8096900771023172
Webb,48479,2020,leukemia,11.7,27.7607987,-99.3407518,25.0,5,1.8063333659880247,1.6249292217387439,1.6,0.0,1.7389630211501925,1.8063333659880247
Wichita,48485,2020,leukemia,24.5,33.9882125,-98.7080098,35.0,5,1.8084084279697328,1.6268525180810933,3.1,0.0,1.740979286985081,1.8084084279697328
Williamson,48491,2020,leukemia,15.9,30.6490817,-97.6050646,95.0,5,1.8075828806245877,1.6261566170026194,2.0,0.0,1.7401402323479243,1.8075828806245877
